"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Mar 31 08:06:11 GMT 2025","Mon Mar 31 08:06:11 GMT 2025","1","Surefire suite","Surefire test","org.example.FormFieldsTest","org.example.FormFieldsTest","testFormFields","testFormFields",""
"broken","Mon Mar 31 08:06:11 GMT 2025","Mon Mar 31 08:06:11 GMT 2025","3","Surefire suite","Surefire test","org.example.FormFieldsTest","org.example.FormFieldsTest","setUp","setUp",""
