"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 31 08:07:28 GMT 2025","Mon Mar 31 08:07:28 GMT 2025","3","Surefire suite","Surefire test","org.example.FormFieldsTest","org.example.FormFieldsTest","setUp","setUp",""
"skipped","Mon Mar 31 08:07:28 GMT 2025","Mon Mar 31 08:07:28 GMT 2025","1","Surefire suite","Surefire test","org.example.FormFieldsTest","org.example.FormFieldsTest","testFormFields","testFormFields",""
